0037MAC:5CCF7F1A9D22,,0137MAC:6001944A80F9,,0237MAC:6001944A80BC,,0337MAC:5CCF7FBBBD4D,,0437MAC:5CCF7FADF364,,0537MAC:5CCF7FB27D3D,,0637MAC:5CCF7FB256D4,,0737MAC:5CCF7FAB321F,,0837MAC:5CCF7FBBB8FE,,0937MAC:5CCF7FBBCA92,,
0038MAC:6001944A8498,,0138MAC:6001944A8260,,0238MAC:6001944A84FB,,0338MAC:5CCF7FBBBC83,,0438MAC:A020A6052678,,0538MAC:5CCF7FB256AB,,0638MAC:5CCF7FB256FB,,0738MAC:5CCF7FB25633,,0838MAC:5CCF7FBBBCB4,,0938MAC:5CCF7FBBBE09,,
0039MAC:6001944A833F,,0139MAC:6001944A8202,,0239MAC:6001944A846C,,0339MAC:5CCF7FBBBD27,,0439MAC:A020A605266F,,0539MAC:5CCF7FB256AC,,0639MAC:5CCF7FB25701,,0739MAC:5CCF7FB2566F,,0839MAC:5CCF7FBBBDDD,,0939MAC:5CCF7FBBBD5E,,
0040MAC:6001944A80B9,,0140MAC:6001944A8254,,0240MAC:6001944A8503,,0340MAC:5CCF7FB25477,,0440MAC:5CCF7FADEEF3,,0540MAC:5CCF7FB27D44,,0640MAC:5CCF7FB256D8,,0740MAC:5CCF7FB27D5E,,0840MAC:5CCF7FBBB862,,0940MAC:5CCF7FBBB871,,
0041MAC:6001944A8331,,0141MAC:6001944A8089,,0241MAC:6001944A835E,,0341MAC:5CCF7FB254CC,,0441MAC:5CCF7FADEEFF,,0541MAC:5CCF7FB256B3,,0641MAC:5CCF7FB27D90,,0741MAC:5CCF7FB254F4,,0841MAC:5CCF7FBBBD57,,0941MAC:5CCF7FBBBDBC,,
0042MAC:5CCF7F1EAD36,,0142MAC:6001944A80FD,,0242MAC:6001944A8319,,0342MAC:5CCF7FB254D9,,0442MAC:A020A605270D,,0542MAC:5CCF7FB27E05,,0642MAC:5CCF7FB27D86,,0742MAC:5CCF7FB25547,,0842MAC:5CCF7FBB5E32,,0942MAC:5CCF7FBBB8D2,,
0043MAC:6001944A830C,,0143MAC:6001944A817D,,0243MAC:6001944A846D,,0343MAC:5CCF7FB25481,,0443MAC:5CCF7FADF264,,0543MAC:5CCF7FB256DD,,0643MAC:5CCF7FB27E0E,,0743MAC:5CCF7FB2566D,,0843MAC:5CCF7FBBBDE8,,0943MAC:5CCF7FBBB8EE,,
0044MAC:6001944A84B2,,0144MAC:6001944A82A8,,0244MAC:6001944A8415,,0344MAC:5CCF7FB2559A,,0444MAC:5CCF7FADF033,,0544MAC:5CCF7FB27D46,,0644MAC:5CCF7FB27D8E,,0744MAC:5CCF7FB25664,,0844MAC:5CCF7FBBBD8D,,0944MAC:5CCF7FBBB92B,,
0045MAC:6001944A833A,,0145MAC:6001944A824D,,0245MAC:6001944A832F,,0345MAC:5CCF7FB25506,,0445MAC:5CCF7FADEF83,,0545MAC:5CCF7FB256AE,,0645MAC:5CCF7FB27E03,,0745MAC:5CCF7FB255AB,,0845MAC:5CCF7FBBBC80,,0945MAC:5CCF7FBBBE0C,,
0046MAC:5CCF7F00B66A,,0146MAC:6001944A8177,,0246MAC:6001944A831D,,0346MAC:5CCF7FB25496,,0446MAC:5CCF7FADF354,,0546MAC:5CCF7FB27D42,,0646MAC:5CCF7FB27E1A,,0746MAC:5CCF7FB2565E,,0846MAC:5CCF7FBBB931,,0946MAC:5CCF7FBBB881,,
